numprocs,N,M,time,speedup,efficiency
2,2000,2000,7.246879100101069,1.4626986118551595,0.0014612373744806789
4,2000,2000,4.3471389000769705,2.438385394083524,0.004867036714737573
8,2000,2000,3.164227499975823,3.349948763191329,0.013346409415104897
14,2000,2000,2.290876599960029,4.6270497503815555,0.03235699126140948
2,200,20000,7.233111900044605,1.4654826506879606,0.014509729214732283
4,200,20000,4.622860600007698,2.2929525497659067,0.044959853916978564
8,200,20000,4.55556709994562,2.3268233718095237,0.08949320660805861
14,200,20000,4.915129299974069,2.1566065413693027,0.1437737694246202
2,20000,200,7.6241303000133485,1.3903225132421255,0.00013901834948926362
4,20000,200,4.198274799971841,2.5248466346393275,0.0005048683532572141
8,20000,200,2.915661499951966,3.635538624828235,0.0014536339963327608
14,20000,200,2.121317199897021,4.996895325467863,0.0034967776945191483
